player_rank,player,first_year,last_year,draft,team,league,games_played,games_started,rushing_attempts,total_yards,yards_per_attempt,rushing_td,yards_per_game
79,Jason Campbell,2006,2014,1-25,TOT,NFL,90,79,240,1204,5.02,6,13.4
80,Andy Dalton,2011,2019,2-35,CIN,NFL,129,129,381,1199,3.15,21,9.3
81,John Brodie,1957,1973,1-3,SFO,NFL,201,158,235,1167,4.97,22,5.8
82,Dak Prescott,2016,2019,4-135,DAL,NFL,60,60,227,1166,5.14,21,19.4
83,Gene Ronzani,1933,1945,,CHI,NFL,78,34,260,1153,4.43,1,14.8
85,Jack Kemp,1957,1969,17-203,TOT,TOT,122,105,356,1150,3.23,40,9.4
86,Rodney Peete,1989,2004,6-141,TOT,NFL,104,87,270,1139,4.22,16,11.0
87,Rick Mirer,1993,2003,1-2,TOT,NFL,80,68,242,1130,4.67,9,14.1
88,Vince Evans,1977,1995,6-140,TOT,NFL,100,39,212,1129,5.33,14,11.3
89,Deshaun Watson,2017,2019,1-12,HTX,NFL,35,34,197,1120,5.69,12,32.0
90,Don Majkowski,1987,1996,10-255,TOT,NFL,90,57,248,1114,4.49,12,12.4
91,John Hadl,1962,1977,1-10 3-24AFL,TOT,TOT,224,166,351,1112,3.17,16,5.0
92,Josh McCown,2002,2019,3-81,TOT,NFL,102,76,248,1106,4.46,13,10.8
93,Keith Molesworth,1931,1937,,CHI,NFL,81,35,348,1105,3.18,8,13.6
94,Matthew Stafford,2009,2019,1-1,DET,NFL,149,149,316,1086,3.44,14,7.3
95,Josh Allen,2018,2019,1-7,BUF,NFL,24,23,182,1061,5.83,16,44.2
96,Jim Kelly,1986,1996,1-14,BUF,NFL,160,160,304,1049,3.45,7,6.6
84,Al Dorow,1954,1962,3-31,TOT,TOT,69,45,248,1150,4.64,16,16.7
97,Glenn Dobbs,1946,1949,1-3,TOT,AAFC,49,30,262,1039,3.97,12,21.2
98,Jack Concannon,1964,1975,2-16 1-1AFL,TOT,NFL,90,45,217,1026,4.73,12,11.4
99,Matt Cassel,2005,2018,7-230,TOT,NFL,108,81,268,1025,3.82,5,9.5
100,Wade Wilson,1981,1998,8-210,TOT,NFL,125,69,239,1025,4.29,9,8.2
101,Troy Aikman,1989,2000,1-1,DAL,NFL,165,165,327,1016,3.11,9,6.2
102,Tom Brady,2000,2019,6-199,NWE,NFL,281,279,598,1015,1.70,22,3.6
103,Jameis Winston,2015,2019,1-1,TAM,NFL,68,66,236,1014,4.30,9,14.9
104,Bob Griese,1967,1980,1-4,MIA,TOT,161,151,261,994,3.81,7,6.2
105,Tim Tebow,2010,2012,1-25,TOT,NFL,35,16,197,989,5.02,12,28.3
106,Brad Smith,2006,2014,4-103,TOT,NFL,127,24,134,972,7.25,4,7.7
107,Neil Lomax,1981,1988,2-33,CRD,NFL,108,101,222,969,4.36,10,9.0
108,Ed Brown,1954,1965,6-68,TOT,NFL,154,96,265,960,3.62,14,6.2
109,Jon Kitna,1997,2011,,TOT,NFL,141,124,313,956,3.05,11,6.8
110,Josh Freeman,2009,2015,1-17,TOT,NFL,62,61,205,946,4.61,4,15.3
111,Richard Todd,1976,1985,1-6,TOT,NFL,119,108,259,932,3.60,14,7.8
112,Harry Gilmer,1948,1956,1-1,TOT,NFL,76,27,201,923,4.59,1,12.1
113,Trent Green,1997,2008,8-222,TOT,NFL,120,113,243,914,3.76,6,7.6
114,Steve Fuller,1979,1986,1-23,TOT,NFL,90,42,186,908,4.88,11,10.1
115,Bob Davis,1938,1946,,TOT,NFL,49,33,230,904,3.93,3,18.4
116,Doug Williams,1978,1989,1-17,TOT,NFL,88,81,220,884,4.02,15,10.0
117,Otto Graham,1946,1955,1-4,CLE,TOT,126,114,405,882,2.18,44,7.0
118,Tony Banks,1996,2005,2-42,TOT,NFL,96,78,246,881,3.58,6,9.2
119,Earl Morrall,1956,1976,1-2,TOT,NFL,255,102,235,878,3.74,8,3.4
120,Rob Johnson,1995,2003,4-99,TOT,NFL,48,29,140,877,6.26,4,18.3
121,Ron Jaworski,1974,1989,2-37,TOT,NFL,188,143,257,859,3.34,16,4.6
122,Steve Pelluer,1984,1990,5-113,TOT,NFL,65,30,142,858,6.04,6,13.2
123,Gary Danielson,1976,1988,,TOT,NFL,101,60,186,857,4.61,7,8.5
124,David Woodley,1980,1985,8-214,TOT,NFL,58,53,201,856,4.26,11,14.8
125,Jay Fiedler,1995,2005,,TOT,NFL,76,60,219,854,3.90,11,11.2
126,Trent Dilfer,1994,2007,1-6,TOT,NFL,130,113,248,853,3.44,5,6.6
127,Lamar McHan,1954,1963,1-2,TOT,NFL,113,70,239,849,3.55,12,7.5
128,Joe Flacco,2008,2019,1-18,TOT,NFL,171,171,357,831,2.33,16,4.9
129,Mike Pagel,1982,1993,4-84,TOT,NFL,132,54,136,831,6.11,4,6.3
130,Chris Miller,1987,1999,1-13,TOT,NFL,98,92,178,814,4.57,2,8.3
131,Drew Bledsoe,1993,2006,1-1,TOT,NFL,194,193,385,764,1.98,10,3.9
132,Brian Sipe,1974,1983,13-330,CLE,NFL,125,112,223,762,3.42,11,6.1
133,Jay Schroeder,1985,1994,3-83,TOT,NFL,118,99,242,761,3.14,5,6.4
134,Drew Brees,2001,2019,2-32,TOT,NFL,271,270,475,757,1.59,22,2.8
135,Mitchell Trubisky,2017,2019,1-2,CHI,NFL,37,37,135,749,5.55,6,20.2
136,Johnny Lujack,1948,1951,1-4,CHI,NFL,45,33,133,742,5.58,21,16.5
137,Carson Wentz,2016,2019,1-2,PHI,NFL,52,52,189,730,3.86,3,14.0
138,David Archer,1984,1989,,TOT,NFL,55,23,135,706,5.23,2,12.8
139,Jug Girard,1948,1957,1-7,TOT,NFL,114,37,194,703,3.62,3,6.2
140,Kerry Collins,1995,2011,1-5,TOT,NFL,198,180,374,686,1.83,10,3.5
141,Charlie Conerly,1948,1961,13-127,NYG,NFL,161,105,270,685,2.54,10,4.3
142,Dan Pastorini,1971,1983,1-3,TOT,NFL,140,117,216,685,3.17,8,4.9
143,Mike Livingston,1968,1979,2-48,KAN,TOT,91,75,156,682,4.37,7,7.5
144,Pete Beathard,1964,1973,1-5 1-2AFL,TOT,TOT,110,35,131,680,5.19,11,6.2
145,Marty Domres,1969,1977,1-9,TOT,TOT,90,32,130,679,5.22,10,7.5
146,Dave Brown,1992,2001,1-1,TOT,NFL,73,60,192,669,3.48,7,9.2
147,Peyton Manning,1998,2015,1-1,TOT,NFL,266,265,431,667,1.55,18,2.5
148,Geno Smith,2013,2018,2-39,TOT,NFL,40,31,147,661,4.50,7,16.5
149,Cliff Stoudt,1980,1989,5-121,TOT,NFL,66,20,122,661,5.42,4,10.0
150,Brad Johnson,1994,2008,9-227,TOT,NFL,177,125,276,657,2.38,8,3.7
151,Eddie LeBaron,1952,1963,10-123,TOT,NFL,134,85,202,650,3.22,9,4.9
152,Terrelle Pryor,2011,2018,3-1,TOT,NFL,51,30,103,646,6.27,4,12.7
153,Jake Locker,2011,2014,1-8,OTI,NFL,30,23,95,644,6.78,5,21.5
154,Virgil Carter,1968,1976,6-142,TOT,NFL,52,30,109,640,5.87,8,12.3
155,Fred Enke,1948,1954,7-47,TOT,NFL,68,26,170,640,3.76,1,9.4
156,Daryle Lamonica,1963,1974,12-168 24-188AFL,TOT,TOT,151,88,166,640,3.86,14,4.2
157,Christian Ponder,2011,2014,1-12,MIN,NFL,38,36,126,639,5.07,7,16.8
158,Charlie Batch,1998,2012,2-60,TOT,NFL,81,55,172,637,3.70,6,7.9
159,Tarvaris Jackson,2006,2015,2-64,TOT,NFL,59,34,171,636,3.72,6,10.8
160,Ralph Guglielmi,1955,1963,1-4,TOT,NFL,66,27,177,633,3.58,2,9.6
161,Blaine Gabbert,2011,2018,1-10,TOT,NFL,56,48,177,631,3.56,3,11.3
162,Mark Malone,1980,1989,1-28,TOT,NFL,73,54,159,628,3.95,18,8.6
163,Craig Morton,1965,1982,1-5 10-75AFL,TOT,NFL,207,144,215,627,2.92,12,3.0
164,Tony Romo,2004,2016,,DAL,NFL,156,127,238,620,2.61,5,4.0
165,Joe Kapp,1967,1970,18-209,TOT,NFL,51,48,119,611,5.13,5,12.0
166,Marc Wilson,1980,1990,1-15,TOT,NFL,126,60,141,611,4.33,5,4.8
167,Pat Haden,1976,1981,7-176,RAM,NFL,65,55,124,609,4.91,6,9.4
168,Philip Rivers,2004,2019,1-4,SDG,NFL,224,220,363,604,1.66,3,2.7
169,Bobby Hebert,1985,1996,,TOT,NFL,118,100,195,602,3.09,1,5.1
170,Jim Everett,1986,1997,1-3,TOT,NFL,158,153,257,596,2.32,4,3.8
171,Len Barnum,1938,1942,2-12,TOT,NFL,52,21,239,590,2.47,3,11.3
172,Brian Griese,1998,2008,3-91,TOT,NFL,93,83,238,582,2.45,5,6.3
173,Randy Johnson,1966,1976,1-16 4-27AFL,TOT,NFL,75,49,114,573,5.03,10,7.6
174,Kyle Boller,2003,2011,1-19,TOT,NFL,67,47,176,572,3.25,2,8.5
175,Eli Manning,2004,2019,1-1,NYG,NFL,234,232,313,568,1.81,7,2.4
176,Tim Couch,1999,2003,1-1,CLE,NFL,62,59,124,556,4.48,2,9.0
177,Kirk Cousins,2012,2019,4-102,TOT,NFL,89,84,194,552,2.85,15,6.2
178,Eric Hipple,1980,1989,4-85,DET,NFL,102,57,145,550,3.79,13,5.4
179,Bill Munson,1964,1979,1-7 16-126AFL,TOT,NFL,107,66,130,548,4.22,3,5.1
180,Bubby Brister,1986,2000,3-67,TOT,NFL,99,75,191,546,2.86,8,5.5
181,Jack Myers,1948,1952,5-33,TOT,NFL,48,23,125,541,4.33,3,11.3
182,Charley Johnson,1961,1975,10-109 8-63AFL,TOT,NFL,165,124,196,539,2.75,10,3.3
183,Dick Poillon,1942,1949,,WAS,NFL,54,28,186,535,2.88,4,9.9
184,Cotton Davidson,1954,1968,1-5,TOT,TOT,111,53,129,533,4.13,11,4.8
185,Tommy Kramer,1977,1990,1-27,TOT,NFL,129,110,214,531,2.48,8,4.1
186,Milt Plum,1957,1969,2-17,TOT,NFL,129,103,217,531,2.45,13,4.1
187,Mike Tomczak,1985,1999,,TOT,NFL,185,73,198,526,2.66,9,2.8
188,Norm Snead,1961,1976,1-2 5-35AFL,TOT,NFL,178,159,212,521,2.46,23,2.9
189,Quincy Carter,2001,2004,2-53,TOT,NFL,38,34,152,518,3.41,3,13.6
190,Timm Rosenbach,1989,1992,1-2,CRD,NFL,26,20,101,507,5.02,3,19.5
191,Tony Eason,1983,1990,1-15,TOT,NFL,90,51,134,503,3.75,6,5.6
192,Colt McCoy,2010,2019,3-85,TOT,NFL,39,28,130,497,3.82,2,12.7
193,Steve Beuerlein,1988,2003,4-110,TOT,NFL,147,102,225,496,2.20,5,3.4
194,Sonny Jurgensen,1957,1974,4-43,TOT,NFL,218,147,181,493,2.72,15,2.3
195,J.P. Losman,2004,2011,1-22,TOT,NFL,45,33,105,490,4.67,3,10.9
196,Cade McNown,1999,2000,1-12,CHI,NFL,25,15,82,486,5.93,3,19.4
197,Scott Mitchell,1991,2001,4-93,TOT,NFL,99,71,172,485,2.82,11,4.9
198,Joe Reed,1972,1979,11-283,TOT,NFL,50,19,84,484,5.76,2,9.7
199,Danny White,1976,1988,3-53,DAL,NFL,166,92,159,482,3.03,8,2.9
200,Jacoby Brissett,2016,2019,3-91,TOT,NFL,34,28,130,477,3.67,8,14.0
201,Dan Fouts,1973,1987,3-64,SDG,NFL,181,171,224,476,2.13,13,2.6
202,Carson Palmer,2004,2017,1-1,TOT,NFL,182,181,301,474,1.57,8,2.6
203,Frank Reagan,1941,1951,3-22,TOT,NFL,68,24,114,469,4.11,6,6.9
204,Tyler Thigpen,2007,2014,7-217,TOT,NFL,29,12,79,469,5.94,3,16.2
205,Chad Pennington,2000,2010,1-18,TOT,NFL,89,81,180,465,2.58,7,5.2
206,Derek Carr,2014,2019,2-36,RAI,NFL,90,90,170,463,2.72,2,5.1
207,DeShone Kizer,2017,2018,2-52,TOT,NFL,18,15,82,458,5.59,5,25.4
208,Mark Sanchez,2009,2018,1-5,TOT,NFL,79,73,170,457,2.69,13,5.8
209,David Klingler,1992,1997,1-6,TOT,NFL,33,24,74,456,6.16,0,13.8
210,Shaun King,1999,2004,2-50,TOT,NFL,34,24,113,454,4.02,5,13.4
211,Jeff Kemp,1981,1991,,TOT,NFL,96,29,109,448,4.11,1,4.7
212,Patrick Mahomes,2017,2019,1-10,KAN,NFL,27,27,92,448,4.87,3,16.6
213,Kyler Murray,2019,2019,1-1,CRD,NFL,12,12,71,446,6.28,4,37.2
214,Neil O'Donnell,1991,2003,3-70,TOT,NFL,125,100,215,446,2.07,4,3.6
215,Teddy Bridgewater,2014,2019,1-32,TOT,NFL,42,34,127,440,3.46,4,10.5
216,George Shaw,1955,1962,1-1,TOT,TOT,71,31,130,431,3.32,6,6.1
217,Don Trull,1964,1969,9-117 14-111AFL,TOT,AFL,77,18,123,428,3.48,14,5.6
218,Case Keenum,2012,2019,,TOT,NFL,65,61,130,427,3.28,5,6.6
219,Gary Wood,1964,1969,8-109 17-132AFL,TOT,NFL,63,9,75,425,5.67,6,6.7
220,Kent Graham,1992,2001,8-211,TOT,NFL,81,38,121,424,3.50,5,5.2
221,Tom Yewcic,1961,1966,27-319,NWE,AFL,77,6,72,424,5.89,4,5.5
222,Dennis Shaw,1970,1975,2-30,TOT,NFL,50,37,95,420,4.42,0,8.4
223,M.C. Reynolds,1958,1962,,TOT,TOT,40,9,88,419,4.76,4,10.5
224,Byron Leftwich,2003,2012,1-7,TOT,NFL,60,50,137,415,3.03,10,6.9
225,Bob Berry,1965,1975,11-142 26-201AFL,TOT,NFL,78,52,109,409,3.75,4,5.2
226,Mike McMahon,2001,2005,5-149,TOT,NFL,29,14,82,409,4.99,7,14.1
227,Joey Harrington,2002,2007,1-3,TOT,NFL,81,76,142,402,2.83,0,5.0
228,Ray Lucas,1996,2002,,TOT,NFL,55,15,102,396,3.88,4,7.2
229,Josh Johnson,2009,2018,5-160,TOT,NFL,33,8,67,394,5.88,1,11.9
230,Ken O'Brien,1984,1993,1-24,TOT,NFL,129,110,174,394,2.26,0,3.1
231,Nick Foles,2012,2019,3-88,TOT,NFL,58,48,129,390,3.02,5,6.7
232,Elvis Grbac,1994,2001,8-219,TOT,NFL,105,70,163,388,2.38,7,3.7
233,George Mira,1964,1971,2-15 18-137AFL,TOT,NFL,60,8,50,379,7.58,0,6.3
234,Bud Schwenk,1942,1948,3-19,TOT,TOT,37,11,145,376,2.59,4,10.2
235,Akili Smith,1999,2002,1-3,CIN,NFL,22,17,70,371,5.30,1,16.9
236,James Harris,1969,1979,8-192,TOT,TOT,83,41,121,367,3.03,10,4.4
237,Jim Ninowski,1958,1969,4-49,TOT,NFL,89,31,92,367,3.99,10,4.1
238,Norris Weese,1976,1979,4-99,DEN,NFL,57,7,69,362,5.25,5,6.4
239,Chad Henne,2008,2018,2-57,TOT,NFL,68,53,123,358,2.91,3,5.3
240,Matt Schaub,2004,2019,3-90,TOT,NFL,153,93,192,358,1.86,4,2.3
241,Stan Humphries,1989,1997,6-159,TOT,NFL,88,81,150,356,2.37,7,4.0
242,Bob Gagliano,1982,1992,12-319,TOT,NFL,32,13,93,352,3.78,4,11.0
243,Bob Snyder,1937,1943,,TOT,NFL,60,19,161,348,2.16,1,5.8
244,Charlie Frye,2005,2009,3-67,TOT,NFL,26,23,72,347,4.82,4,13.3
245,George Blanda,1949,1975,12-119,TOT,TOT,340,106,135,344,2.55,9,1.0
246,Sam Bradford,2010,2018,1-1,TOT,NFL,83,83,146,340,2.33,2,4.1
247,EJ Manuel,2013,2017,1-16,TOT,NFL,30,18,96,339,3.53,4,11.3
248,Marlin Briscoe,1968,1976,14-357,TOT,TOT,105,74,49,336,6.86,3,3.2
249,Bob Davis,1967,1973,2-30,TOT,TOT,40,14,52,332,6.38,2,8.3
250,Trent Edwards,2007,2012,3-92,TOT,NFL,38,33,78,330,4.23,3,8.7
251,Bruce Gradkowski,2006,2014,6-194,TOT,NFL,37,20,88,329,3.74,0,8.9
252,Jake Delhomme,1999,2011,,TOT,NFL,103,96,175,328,1.87,7,3.2
253,Gary Marangi,1974,1976,3-70,BUF,NFL,19,7,50,328,6.56,2,17.3
254,Shaun Hill,2005,2016,,TOT,NFL,49,35,91,326,3.58,4,6.7
255,Joe Webb,2010,2018,6-199,TOT,NFL,102,4,50,326,6.52,4,3.2
256,Sammy Baugh,1937,1952,1-6,WAS,NFL,165,83,324,325,1.00,9,2.0
257,Todd Blackledge,1983,1989,1-7,TOT,NFL,46,29,81,325,4.01,2,7.1
258,Adrian Burk,1950,1956,1-2,TOT,NFL,82,42,122,324,2.66,7,4.0
259,Taysom Hill,2017,2019,,NOR,NFL,33,6,53,323,6.09,3,9.8
260,Billy Joe Tolliver,1989,1999,2-51,TOT,NFL,79,47,99,320,3.23,5,4.1
261,Gus Frerotte,1994,2008,7-197,TOT,NFL,147,93,197,315,1.60,6,2.1
262,Zeke Bratkowski,1954,1971,2-17,TOT,NFL,132,49,92,308,3.35,5,2.3
263,King Hill,1958,1969,1-1,TOT,NFL,123,29,88,308,3.50,9,2.5
264,Tom Flores,1960,1969,,TOT,AFL,106,68,82,307,3.74,5,2.9
265,Jeff George,1990,2001,1-1,TOT,NFL,131,124,168,307,1.83,2,2.3
266,Karl Sweetan,1966,1970,18-249,TOT,NFL,36,19,56,306,5.46,2,8.5
267,Sam Wyche,1968,1976,,TOT,TOT,47,9,45,303,6.73,3,6.4
268,John Fourcade,1987,1990,,NOR,NFL,24,11,48,302,6.29,2,12.6
269,Marc Bulger,2002,2009,6-168,RAM,NFL,96,95,118,300,2.54,8,3.1
270,Mike Rae,1976,1979,8-205,TOT,NFL,28,8,44,300,6.82,2,10.7
