player_rank,player,first_year,last_year,draft,team,league,games_played,games_started,rushing_attempts,total_yards,yards_per_attempt,rushing_td,yards_per_game
318,Al Woodall,1969,1974,2-52,NYJ,TOT,31,19,60,214,3.57,0,6.9
319,Matt Cavanaugh,1979,1991,2-50,TOT,NFL,112,19,60,213,3.55,3,1.9
320,Terry Baker,1963,1965,1-1 12-90AFL,RAM,NFL,18,5,58,210,3.62,1,11.7
321,Jim Hart,1966,1984,,TOT,NFL,201,180,159,207,1.30,16,1.0
322,C.J. Beathard,2017,2018,3-104,SFO,NFL,13,10,45,205,4.56,4,15.8
323,Scott Hunter,1971,1979,6-140,TOT,NFL,64,42,95,204,2.15,13,3.2
324,Craig Erickson,1992,1997,5-131,TOT,NFL,52,36,77,201,2.61,1,3.9
325,Steve DeBerg,1978,1998,10-275,TOT,NFL,206,140,204,200,0.98,7,1.0
326,Brandon Weeden,2012,2018,1-22,TOT,NFL,35,25,62,200,3.23,1,5.7
327,Heath Shuler,1994,1997,1-3,TOT,NFL,29,22,67,198,2.96,1,6.8
328,Bob Lee,1969,1980,17-441,TOT,NFL,77,30,92,197,2.14,3,2.6
329,John Reaves,1972,1987,1-14,TOT,NFL,51,17,44,195,4.43,3,3.8
330,Jared Goff,2016,2019,1-1,RAM,NFL,50,50,101,193,1.91,6,3.9
331,Bill Kenney,1980,1988,12-333,KAN,NFL,106,77,123,191,1.55,5,1.8
332,Danny Wuerffel,1997,2002,4-99,TOT,NFL,25,10,31,189,6.10,1,7.6
333,Tom Tupa,1988,2004,3-68,TOT,NFL,220,13,53,187,3.53,1,0.9
334,Scott Bull,1976,1978,6-177,SFO,NFL,36,7,49,186,3.80,3,5.2
335,Jack Trudeau,1986,1995,2-47,TOT,NFL,67,49,97,186,1.92,3,2.8
336,Sam Darnold,2018,2019,1-3,NYJ,NFL,22,22,66,185,2.80,3,8.4
337,Tommy Mont,1947,1949,12-114,WAS,NFL,27,2,26,185,7.12,1,6.9
338,Brady Quinn,2007,2012,1-22,TOT,NFL,24,20,44,185,4.20,1,7.7
339,Trevor Siemian,2015,2019,7-250,TOT,NFL,27,25,60,183,3.05,1,6.8
340,Jim Youel,1946,1948,,TOT,NFL,23,6,45,183,4.07,3,8.0
341,Mike Moroski,1979,1986,6-154,TOT,NFL,69,9,37,182,4.92,2,2.6
342,John Skelton,2010,2012,5-155,CRD,NFL,20,17,42,182,4.33,0,9.1
343,Ty Detmer,1993,2003,9-230,TOT,NFL,54,25,72,177,2.46,3,3.3
344,Luke McCown,2004,2015,4-106,TOT,NFL,62,10,34,177,5.21,0,2.9
345,Gary Cuozzo,1963,1972,,TOT,NFL,82,40,76,176,2.32,1,2.1
346,Kevin Hogan,2016,2017,5-162,CLE,NFL,8,1,18,176,9.78,1,22.0
347,Ted Marchibroda,1953,1957,1-5,TOT,NFL,30,11,50,176,3.52,3,5.9
348,JaMarcus Russell,2007,2009,1-1,RAI,NFL,31,25,40,175,4.38,1,5.6
349,Randy Wright,1984,1988,6-153,GNB,NFL,46,32,55,173,3.15,3,3.8
350,Scott Campbell,1984,1990,7-191,TOT,NFL,45,13,43,170,3.95,2,3.8
351,Mark Rypien,1988,2001,6-146,TOT,NFL,104,78,127,166,1.31,8,1.6
352,Rabbit Keen,1937,1938,,PHI,NFL,9,,37,164,4.43,0,18.2
353,Gary Hogeboom,1980,1989,5-133,TOT,NFL,79,37,83,161,1.94,4,2.0
354,Art Schlichter,1982,1985,1-4,CLT,NFL,13,6,22,161,7.32,1,12.4
355,Dick Shiner,1964,1974,7-87 20-155AFL,TOT,NFL,99,29,58,161,2.78,2,1.6
356,Matt Kofler,1982,1985,2-48,TOT,NFL,41,1,20,159,7.95,1,3.9
357,Joe Francis,1958,1959,5-51,GNB,NFL,24,1,26,158,6.08,1,6.6
358,Bobby Hoying,1996,2000,3-85,TOT,NFL,22,13,42,156,3.71,0,7.1
359,Pat Ryan,1978,1991,11-281,TOT,NFL,145,19,53,156,2.94,1,1.1
360,Charlie Whitehurst,2006,2016,3-81,TOT,NFL,26,9,56,156,2.79,2,6.0
361,Tony Adams,1975,1987,14-343,TOT,NFL,53,10,38,155,4.08,0,2.9
362,Brooks Bollinger,2004,2008,6-200,TOT,NFL,21,10,41,155,3.78,0,7.4
363,Richie Lucas,1960,1961,1-4,BUF,AFL,22,9,48,153,3.19,2,7.0
364,Jack Scarbath,1953,1956,1-3,TOT,NFL,29,11,43,153,3.56,0,5.3
365,Todd Collins,1995,2010,2-45,TOT,NFL,50,21,83,152,1.83,0,3.0
366,Jonathan Quinn,1998,2004,3-86,TOT,NFL,17,6,25,151,6.04,1,8.9
367,Josh Rosen,2018,2019,1-10,TOT,NFL,20,16,26,151,5.81,0,7.6
368,Randy Dean,1977,1979,5-117,NYG,NFL,23,3,22,150,6.82,1,6.5
370,Damon Huard,1998,2008,,TOT,NFL,64,27,52,148,2.85,0,2.3
371,Chris Weinke,2001,2007,4-106,TOT,NFL,29,20,54,148,2.74,6,5.1
372,Joe Pisarcik,1977,1984,,TOT,NFL,61,30,65,147,2.26,5,2.4
373,Travis Tidwell,1950,1951,1-7,NYG,NFL,14,4,40,147,3.68,2,10.5
374,Kent Nix,1967,1972,,TOT,NFL,46,18,43,145,3.37,2,3.2
375,J.T. O'Sullivan,2004,2009,6-186,TOT,NFL,17,8,39,145,3.72,0,8.5
376,Pete Liske,1964,1972,10-130 15-115AFL,TOT,TOT,48,29,38,141,3.71,2,2.9
377,Jack Jacobs,1942,1949,2-12,TOT,NFL,55,23,94,140,1.49,2,2.5
378,Cody Kessler,2016,2018,3-93,TOT,NFL,17,12,31,140,4.52,0,8.2
379,Joe Namath,1965,1977,1-12 1-1AFL,TOT,TOT,140,129,71,140,1.97,7,1.0
380,Ray Mallouf,1941,1949,10-83,TOT,NFL,48,10,66,139,2.11,1,2.9
381,Red Cochran,1947,1949,8-66,CRD,NFL,36,8,37,138,3.73,2,3.8
382,Mike Kruczek,1976,1980,2-47,TOT,NFL,36,7,37,138,3.73,2,3.8
383,Scott Brunner,1980,1985,6-145,TOT,NFL,73,30,72,137,1.90,1,1.9
384,George Wilson,1966,1966,20-277,MIA,AFL,14,7,27,137,5.07,0,9.8
385,Scott Secules,1989,1993,6-151,TOT,NFL,57,4,24,136,5.67,1,2.4
386,Mike Taliaferro,1964,1972,10-138 28-219AFL,TOT,TOT,82,32,46,134,2.91,0,1.6
387,Rusty Lisch,1980,1984,4-89,TOT,NFL,30,2,20,130,6.50,0,4.3
388,Tommy Maddox,1992,2005,1-25,TOT,NFL,92,36,68,128,1.88,1,1.4
389,Ryan Leaf,1998,2001,1-2,TOT,NFL,25,21,59,127,2.15,0,5.1
390,Eric Zeier,1995,2000,3-84,TOT,NFL,28,12,43,127,2.95,0,4.5
391,Babe Laufenberg,1986,1990,6-168,TOT,NFL,16,7,33,126,3.82,0,7.9
392,Bill Mackrides,1947,1953,3-19,TOT,NFL,46,4,70,124,1.77,3,2.7
393,Warren Rabb,1960,1962,2-15,TOT,TOT,30,10,50,124,2.48,3,4.1
394,Lynn Dickey,1971,1985,3-56,TOT,NFL,152,111,140,121,0.86,9,0.8
395,Billy Joe Hobert,1995,1999,3-58,TOT,NFL,29,17,33,121,3.67,1,4.2
396,Jeff Komlo,1979,1983,9-231,TOT,NFL,25,16,38,121,3.18,2,4.8
397,Tom Dublinski,1952,1960,8-93,TOT,TOT,29,5,28,118,4.21,1,4.1
398,Brian Hoyer,2009,2019,,TOT,NFL,68,38,102,117,1.15,2,1.7
399,Matt Robinson,1977,1982,9-227,TOT,NFL,69,20,58,117,2.02,4,1.7
400,Jerry Tagge,1972,1974,1-11,GNB,NFL,18,12,41,117,2.85,3,6.5
401,Ron Vander Kelen,1963,1967,21-163 21-163AFL,MIN,NFL,29,5,26,116,4.46,1,4.0
402,Anthony Dilweg,1989,1990,3-74,GNB,NFL,10,7,21,114,5.43,0,11.4
403,Bob Williams,1951,1955,1-2,CHI,NFL,29,7,29,112,3.86,0,3.9
404,Quinn Gray,2005,2008,,TOT,NFL,12,4,25,111,4.44,2,9.3
405,Rudy Bukich,1953,1968,2-24,TOT,NFL,103,41,112,109,0.97,9,1.1
406,Curtis Painter,2009,2013,6-201,TOT,NFL,14,8,23,109,4.74,0,7.8
407,Stan Gelbaugh,1989,1996,6-150,TOT,NFL,20,12,28,108,3.86,0,5.4
408,Steve Ramsey,1970,1976,5-126,TOT,NFL,54,31,33,108,3.27,2,2.0
409,T.J. Rubley,1993,1995,9-228,TOT,NFL,10,7,31,108,3.48,0,10.8
410,T.J. Yates,2011,2017,5-152,TOT,NFL,22,10,28,107,3.82,1,4.9
411,Rex Grossman,2003,2012,1-22,TOT,NFL,54,47,81,106,1.31,4,2.0
412,Cleo Lemon,2005,2008,,TOT,NFL,16,8,36,106,2.94,4,6.6
413,Blair Kiel,1984,1991,11-281,TOT,NFL,25,3,16,105,6.56,1,4.2
414,Henry Burris,2002,2002,,CHI,NFL,6,1,15,104,6.93,0,17.3
415,Parnell Dickinson,1976,1976,7-183,TAM,NFL,8,1,13,103,7.92,0,12.9
416,Charlie O'Rourke,1942,1949,5-39,TOT,TOT,58,19,96,103,1.07,4,1.8
417,Jimmy Clausen,2010,2015,2-48,TOT,NFL,22,14,37,102,2.76,0,4.6
418,Chase Daniel,2010,2019,,TOT,NFL,65,5,50,102,2.04,0,1.6
419,Stephen McGee,2010,2011,4-101,DAL,NFL,3,1,17,102,6.00,0,34.0
420,Kyle Mackey,1987,1989,11-296,TOT,NFL,7,4,19,101,5.32,2,14.4
421,Shane Matthews,1996,2004,,TOT,NFL,31,22,43,101,2.35,1,3.3
422,Frank Tripucka,1949,1963,1-9,TOT,TOT,75,56,43,101,2.35,6,1.3
423,Bob Brodhead,1960,1960,12-144,BUF,AFL,4,1,15,100,6.67,0,25.0
424,Jimmy Garoppolo,2014,2019,2-62,TOT,NFL,38,22,84,100,1.19,2,2.6
425,Doug Pederson,1993,2004,,TOT,NFL,100,17,61,100,1.64,0,1.0
426,Steve Stenstrom,1996,1999,4-134,TOT,NFL,17,10,22,100,4.55,2,5.9
427,Terry Hanratty,1969,1976,2-30,TOT,NFL,50,18,21,99,4.71,1,2.0
428,John Roach,1956,1964,3-31,TOT,NFL,64,23,42,99,2.36,2,1.5
429,Caleb Hanie,2009,2012,,TOT,NFL,10,4,14,97,6.93,0,9.7
430,Randy Fasani,2002,2002,5-137,CAR,NFL,4,1,18,95,5.28,0,23.8
431,Sage Rosenfels,2002,2010,4-109,TOT,NFL,44,12,48,95,1.98,1,2.2
432,Todd Bouman,2001,2010,,TOT,NFL,44,7,23,94,4.09,0,2.1
433,Tom Sherman,1968,1969,,TOT,AFL,19,7,27,94,3.48,0,4.9
434,Matt Moore,2007,2019,,TOT,NFL,54,32,70,93,1.33,2,1.7
435,Jeff Rutledge,1979,1992,9-246,TOT,NFL,117,10,52,93,1.79,1,0.8
436,Ken Stabler,1970,1984,2-52,TOT,NFL,184,146,118,93,0.79,4,0.5
437,Rusty Hilger,1985,1991,6-143,TOT,NFL,23,14,35,91,2.60,0,4.0
438,Jerry Rhome,1965,1971,13-172 25-195AFL,TOT,NFL,71,7,26,91,3.50,1,1.3
439,Ken Casanega,1946,1948,3-16,SFO,AAFC,15,5,29,90,3.10,1,6.0
440,Jim Gaffney,1945,1946,15-149,WAS,NFL,12,5,26,90,3.46,0,7.5
441,Mike Glennon,2013,2019,3-73,TOT,NFL,29,22,43,90,2.09,0,3.1
442,Tom Hodson,1990,1995,3-59,TOT,NFL,36,12,21,90,4.29,0,2.5
443,Butch Songin,1960,1962,19-247,TOT,AFL,35,20,23,90,3.91,2,2.6
444,Ray Buivid,1937,1938,1-3,CHI,NFL,17,6,51,89,1.75,0,5.2
445,Matt Leinart,2006,2012,1-10,TOT,NFL,33,18,47,89,1.89,2,2.7
446,Bill Nelsen,1963,1972,10-136,TOT,NFL,90,74,84,89,1.06,2,1.0
447,Gifford Nielsen,1978,1983,3-73,OTI,NFL,55,14,29,89,3.07,0,1.6
448,Alan Pastrana,1969,1970,11-270,DEN,TOT,7,3,14,89,6.36,1,12.7
449,Patrick Ramsey,2002,2008,1-32,TOT,NFL,37,24,47,89,1.89,2,2.4
450,Chuck Long,1986,1991,1-12,TOT,NFL,27,21,34,88,2.59,0,3.3
451,Dan Marino,1983,1999,1-27,MIA,NFL,242,240,301,87,0.29,9,0.4
452,Wayne Clark,1970,1975,8-198,TOT,NFL,40,5,16,86,5.38,1,2.2
453,Gary Huff,1973,1978,2-33,TOT,NFL,57,28,50,86,1.72,2,1.5
454,Chad Hutchinson,2002,2004,,TOT,NFL,15,14,26,85,3.27,0,5.7
455,John Rauch,1949,1951,1-2,TOT,NFL,27,3,12,84,7.00,1,3.1
456,Reino Nori,1937,1938,,TOT,NFL,7,1,27,82,3.04,0,11.7
457,Tom Ramsey,1986,1989,10-267,TOT,NFL,28,5,21,82,3.90,1,2.9
458,Steve Tensi,1965,1970,16-224 4-30AFL,TOT,TOT,56,34,47,82,1.74,0,1.5
459,Pat White,2009,2009,2-44,MIA,NFL,13,0,21,81,3.86,0,6.2
460,Scott Zolak,1992,1999,4-84,TOT,NFL,55,7,38,81,2.13,0,1.5
461,Johnny Green,1960,1963,21-247,TOT,AFL,30,19,52,79,1.52,6,2.6
462,Marques Tuiasosopo,2001,2008,2-59,RAI,NFL,13,2,17,79,4.65,0,6.1
463,Sam Etcheverry,1961,1962,,CRD,NFL,28,13,41,78,1.90,0,2.8
464,Jeff Lewis,1996,2000,4-100,TOT,NFL,12,0,21,78,3.71,0,6.5
465,Frank Reich,1985,1998,3-57,TOT,NFL,118,20,91,78,0.86,0,0.7
466,George Cafego,1940,1945,1-1,TOT,NFL,35,20,155,77,0.50,1,2.2
467,Vince Ferragamo,1977,1986,4-91,TOT,NFL,75,53,60,77,1.28,3,1.0
468,Ryan Finley,2019,2019,4-104,CIN,NFL,3,3,10,77,7.70,0,25.7
469,Tim Rattay,2000,2007,7-212,TOT,NFL,40,18,45,77,1.71,0,1.9
470,Dwayne Haskins,2019,2019,1-15,WAS,NFL,6,4,16,76,4.75,0,12.7
471,Gary Kerkorian,1952,1956,19-222,TOT,NFL,32,10,30,76,2.53,2,2.4
472,Spergon Wynn,2000,2001,6-183,TOT,NFL,10,3,11,76,6.91,0,7.6
473,Kelly Stouffer,1988,1992,1-6,SEA,NFL,22,16,30,75,2.50,0,3.4
474,George Herring,1960,1961,16-184,DEN,AFL,28,3,15,74,4.93,2,2.6
475,Bryce Petty,2016,2017,4-103,NYJ,NFL,10,7,12,74,6.17,0,7.4
476,Alan Risher,1985,1987,,TOT,NFL,19,3,12,74,6.17,1,3.9
477,Bobby Scott,1973,1981,14-340,NOR,NFL,41,14,30,74,2.47,1,1.8
478,Reggie Collier,1986,1987,6-162,TOT,NFL,6,1,10,73,7.30,0,12.2
479,Lee Grosscup,1960,1962,1-10,TOT,TOT,16,4,13,73,5.62,0,4.6
480,Nathan Peterman,2017,2018,5-171,BUF,NFL,8,4,17,73,4.29,1,9.1
481,Jesse Freitas,1974,1975,6-133,SDG,NFL,13,7,17,72,4.24,0,5.5
482,Jim Hardy,1946,1952,1-8,TOT,NFL,69,21,52,72,1.38,2,1.0
483,Tommy O'Connell,1953,1961,18-212,TOT,TOT,45,21,61,72,1.18,4,1.6
484,Kyle Allen,2018,2019,,CAR,NFL,12,11,24,71,2.96,2,5.9
485,Steve Dils,1979,1988,4-97,TOT,NFL,106,27,45,71,1.58,1,0.7
486,Dave Walter,1987,1987,11-307,CIN,NFL,3,2,16,70,4.38,0,23.3
487,Matt Flynn,2008,2014,7-209,TOT,NFL,53,7,65,69,1.06,1,1.3
488,Mike Hold,1987,1987,,TAM,NFL,2,0,7,69,9.86,0,34.5
489,John Hufnagel,1974,1975,14-348,DEN,NFL,9,1,10,69,6.90,0,7.7
490,Erik Wilhelm,1989,1996,3-83,CIN,NFL,22,1,19,69,3.63,0,3.1
491,Austin Davis,2012,2017,,TOT,NFL,16,10,24,68,2.83,0,4.3
492,Browning Nagle,1991,1996,2-34,TOT,NFL,24,14,26,68,2.62,0,2.8
493,Craig Whelihan,1997,1998,6-197,SDG,NFL,19,14,31,67,2.16,0,3.5
494,Mike Koken,1933,1933,,CRD,NFL,9,4,27,65,2.41,0,7.2
495,Terry Nofsinger,1961,1967,17-230,TOT,NFL,24,6,31,65,2.10,3,2.7
496,Joe Gilliam,1972,1975,11-273,PIT,NFL,20,7,22,64,2.91,1,3.2
497,Sam Adkins,1977,1981,10-254,SEA,NFL,11,0,14,63,4.50,0,5.7
498,Mark Miller,1978,1979,3-68,CLE,NFL,10,0,8,61,7.63,1,6.1
499,Hunter Enis,1960,1962,,TOT,AFL,38,3,27,60,2.22,5,1.6
500,J.J. Jones,1975,1975,,NYJ,NFL,7,1,9,59,6.56,0,8.4
501,Eddie Wilson,1962,1965,2-24 3-19AFL,TOT,AFL,56,2,23,59,2.57,1,1.1
502,Rick Arrington,1970,1972,,PHI,NFL,17,5,10,58,5.80,1,3.4
503,Doug Johnson,2000,2004,,TOT,NFL,25,11,32,58,1.81,2,2.3
504,Jeff Carlson,1990,1992,4-102,TOT,NFL,7,3,17,57,3.35,0,8.1
505,Bruce Lemmerman,1968,1969,,ATL,NFL,11,2,11,57,5.18,1,5.2
506,Jim Root,1953,1956,23-268,CRD,NFL,20,8,43,57,1.33,3,2.9
507,Scott Tolzien,2012,2017,,TOT,NFL,10,4,16,57,3.56,1,5.7
508,Dennis Dixon,2008,2014,5-156,TOT,NFL,4,3,10,56,5.60,1,14.0
509,Mike Hohensee,1987,1987,,CHI,NFL,2,2,9,56,6.22,0,28.0
510,John Beck,2007,2011,2-40,TOT,NFL,9,7,19,55,2.89,3,6.1
511,Thaddeus Lewis,2012,2014,,TOT,NFL,7,6,25,55,2.20,1,7.9
512,Paxton Lynch,2016,2017,1-26,DEN,NFL,5,4,16,55,3.44,0,11.0
513,Pat Sullivan,1972,1975,2-40,ATL,NFL,30,4,14,55,3.93,0,1.8
514,Jeff Brohm,1996,1997,,SFO,NFL,8,0,20,54,2.70,0,6.8
515,Al Dekdebrun,1946,1948,9-72,TOT,AAFC,32,13,54,54,1.00,0,1.7
516,Alex Van Pelt,1995,2003,8-216,BUF,NFL,31,11,32,53,1.66,1,1.7
517,John Huarte,1966,1972,6-76 2-12AFL,TOT,TOT,24,1,12,52,4.33,0,2.2
518,Dan Darragh,1968,1970,13-336,BUF,TOT,17,11,20,51,2.55,0,3.0
519,Tony Graziani,1997,1999,7-204,ATL,NFL,18,5,16,51,3.19,0,2.8
520,Dave Ragone,2003,2003,3-88,HTX,NFL,2,2,6,51,8.50,0,25.5
521,Don Breaux,1963,1965,,TOT,AFL,23,2,12,49,4.08,0,2.1
522,Carlos Brown,1975,1976,12-296,GNB,NFL,26,3,12,49,4.08,0,1.9
523,A.J. Feeley,2001,2011,5-155,TOT,NFL,28,18,37,49,1.32,1,1.8
524,Bob Holly,1983,1985,11-291,TOT,NFL,10,0,7,49,7.00,1,4.9
525,Todd Hons,1987,1987,,DET,NFL,3,3,5,49,9.80,0,16.3
526,Danny Kanell,1996,2003,4-130,TOT,NFL,43,24,44,49,1.11,0,1.1
527,Kim McQuilken,1974,1979,3-69,TOT,NFL,26,7,19,49,2.58,0,1.9
528,Larry Rakestraw,1966,1968,8-112 11-87AFL,CHI,NFL,13,4,21,49,2.33,2,3.8
529,George Ratterman,1947,1956,16-139,TOT,TOT,92,46,106,49,0.46,14,0.5
530,Andrew Walter,2006,2008,3-69,RAI,NFL,15,9,19,49,2.58,0,3.3
531,Brock Huard,2000,2003,3-77,TOT,NFL,8,4,9,48,5.33,0,6.0
532,Cliff Lewis,1946,1951,21-200,CLE,TOT,71,23,54,48,0.89,1,0.7
533,Chris Simms,2004,2009,3-97,TOT,NFL,23,16,33,48,1.45,1,2.1
534,Bradlee Van Pelt,2005,2005,7-250,DEN,NFL,3,0,11,48,4.36,1,16.0
535,Cody Pickett,2004,2005,7-217,SFO,NFL,6,2,14,47,3.36,0,7.8
536,Steve Walsh,1989,1999,1-1,TOT,NFL,80,38,80,47,0.59,1,0.6
537,Edd Hargett,1969,1973,16-397,TOT,NFL,49,8,18,46,2.56,1,0.9
538,Jim LeClair,1967,1968,16-241,DEN,AFL,8,4,20,46,2.30,1,5.8
539,Max Choboian,1966,1966,,DEN,AFL,14,7,21,45,2.14,2,3.2
540,Mark Stevens,1987,1987,,SFO,NFL,2,0,10,45,4.50,1,22.5
541,Dick Wood,1962,1966,12-144,TOT,AFL,60,33,26,45,1.73,4,0.8
542,Tom Greene,1960,1961,,TOT,AFL,11,2,7,44,6.29,0,4.0
543,Todd Marinovich,1991,1992,1-24,RAI,NFL,8,8,12,44,3.67,0,5.5
544,George Terlep,1946,1948,,TOT,AAFC,35,5,41,44,1.07,1,1.3
545,Jim Camp,1948,1948,8-65,BDA,AAFC,12,3,8,43,5.38,0,3.6
546,Troy Taylor,1990,1991,4-84,NYJ,NFL,7,0,9,43,4.78,1,6.1
547,Tommy Wade,1964,1965,,PIT,NFL,5,2,8,43,5.38,0,8.6
548,Randy Duncan,1961,1961,1-1,KAN,AFL,14,2,5,42,8.40,0,3.0
549,Mason Rudolph,2019,2019,3-76,PIT,NFL,9,8,19,42,2.21,0,4.7
550,Kevin Sweeney,1987,1988,7-180,DAL,NFL,6,4,11,42,3.82,0,7.0
551,Ricky Turner,1988,1988,,CLT,NFL,4,0,16,42,2.63,2,10.5
552,Mickey Kobrosky,1937,1937,5-44,NYG,NFL,7,,13,41,3.15,0,5.9
553,Craig Krenzel,2004,2004,5-148,CHI,NFL,6,5,18,41,2.28,0,6.8
554,Don Milan,1975,1975,,GNB,NFL,7,1,4,41,10.25,0,5.9
555,Rick Neuheisel,1987,1987,,SDG,NFL,3,2,6,41,6.83,1,13.7
556,Rick Norton,1966,1970,2-29 1-2AFL,TOT,TOT,32,11,19,41,2.16,0,1.3
557,Kay Stephenson,1967,1968,,TOT,AFL,17,3,6,41,6.83,0,2.4
558,Norm Van Brocklin,1949,1960,4-37,TOT,NFL,140,101,102,40,0.39,11,0.3
559,Brandon Allen,2019,2019,6-201,DEN,NFL,3,3,10,39,3.90,0,13.0
560,Jeff Christensen,1983,1987,5-137,TOT,NFL,4,2,12,39,3.25,0,9.8
561,Matt Mauck,2005,2005,7-225,OTI,NFL,2,1,7,39,5.57,0,19.5
562,Shawn Moore,1992,1992,11-284,DEN,NFL,3,0,8,39,4.88,0,13.0
563,Matt Simms,2013,2014,,NYJ,NFL,4,0,6,39,6.50,0,9.8
564,Dieter Brock,1985,1985,,RAM,NFL,15,15,20,38,1.90,0,2.5
565,Larry Cipa,1974,1975,15-373,NOR,NFL,8,3,18,37,2.06,1,4.6
566,Tim Hasselbeck,2002,2007,,TOT,NFL,12,5,18,37,2.06,0,3.1
567,Larry Lawrence,1974,1976,,TOT,NFL,9,2,6,36,6.00,0,4.0
568,Tee Martin,2001,2003,5-163,TOT,NFL,3,0,6,36,6.00,0,12.0
569,Doug Nussmeier,1996,1997,4-116,NOR,NFL,5,2,11,36,3.27,0,7.2
570,Tom Owen,1974,1981,13-322,TOT,NFL,26,9,19,36,1.89,1,1.4
571,Ken Stofer,1946,1946,,BBA,AAFC,11,1,16,36,2.25,0,3.3
572,Brian Dowling,1972,1977,11-277,TOT,NFL,27,0,7,35,5.00,3,1.3
573,Randy Hedberg,1977,1977,8-196,TAM,NFL,7,4,9,35,3.89,0,5.0
574,Mike Kirkland,1978,1978,5-143,CLT,NFL,16,2,8,35,4.38,0,2.2
575,Dan Manucci,1979,1987,5-116,BUF,NFL,19,1,7,35,5.00,0,1.8
576,Steve Romanik,1950,1954,3-36,TOT,NFL,38,14,27,35,1.30,3,0.9
577,Dan Orlovsky,2005,2015,5-145,TOT,NFL,27,12,13,34,2.62,0,1.3
578,Taylor Heinicke,2017,2018,,TOT,NFL,7,1,6,33,5.50,0,4.7
579,Ed Mioduszewski,1953,1953,18-217,CLT,NFL,12,2,3,33,11.00,0,2.8
580,Frank Seurer,1986,1987,3-76,KAN,NFL,9,2,9,33,3.67,0,3.7
581,Harold Stephens,1962,1962,,NYJ,AFL,6,,6,33,5.50,0,5.5
582,John Witkowski,1984,1988,6-160,DET,NFL,5,1,8,33,4.13,0,6.6
583,Glenn Foley,1994,1999,7-208,TOT,NFL,21,9,19,32,1.68,0,1.5
584,Sammy Garza,1987,1987,8-216,CRD,NFL,2,1,8,31,3.88,1,15.5
585,Devlin Hodges,2019,2019,,PIT,NFL,4,2,13,31,2.38,0,7.8
586,Brent Pease,1987,1988,11-295,OTI,NFL,20,3,23,31,1.35,2,1.6
587,Ed Rubbert,1987,1987,,WAS,NFL,3,3,9,31,3.44,0,10.3
588,Koy Detmer,1998,2006,7-207,PHI,NFL,104,8,31,30,0.97,1,0.3
589,Kelly Holcomb,1997,2007,,TOT,NFL,37,24,43,30,0.70,1,0.8
590,Greg McElroy,2012,2012,7-208,NYJ,NFL,2,1,8,30,3.75,0,15.0
591,Walt Rankin,1941,1947,,CRD,NFL,50,23,22,30,1.36,0,0.6
592,John Friesz,1990,2000,6-138,TOT,NFL,69,38,53,29,0.55,0,0.4
593,A.J. McCarron,2014,2019,5-164,TOT,NFL,14,3,17,29,1.71,0,2.1
594,Moses Moreno,1998,2000,7-232,TOT,NFL,9,3,9,29,3.22,0,3.2
595,Eagle Day,1959,1960,17-203,WAS,NFL,16,2,6,28,4.67,0,1.8
596,Chuck Fusina,1979,1986,5-133,TOT,NFL,14,0,11,28,2.55,0,2.0
597,David Humm,1975,1984,5-128,TOT,NFL,95,1,16,28,1.75,0,0.3
598,Nick Papac,1961,1961,,RAI,AFL,14,,6,28,4.67,1,2.0
599,Sean Payton,1987,1987,,CHI,NFL,3,0,1,28,28.00,0,9.3
600,Tim Van Galder,1972,1972,6-88,CRD,NFL,5,5,9,28,3.11,0,5.6
601,Billy Volek,2001,2011,,TOT,NFL,39,10,57,28,0.49,2,0.7
602,Bill Hutchinson,1942,1942,,NYG,NFL,2,,7,27,3.86,0,13.5
603,Matt McGloin,2013,2016,,RAI,NFL,13,7,16,27,1.69,0,2.1
604,Ron Miller,1962,1962,3-41 21-168AFL,RAM,NFL,6,1,3,27,9.00,0,4.5
605,Cliff Olander,1977,1979,5-128,SDG,NFL,15,1,8,27,3.38,0,1.8
606,Mark Reed,1983,1983,8-207,CLT,NFL,1,0,2,27,13.50,0,27.0
607,Clint Stoerner,2000,2001,,DAL,NFL,5,2,9,27,3.00,1,5.4
608,Jeb Blount,1977,1977,2-50,TAM,NFL,5,4,5,26,5.20,0,5.2
609,Galen Hall,1962,1963,,TOT,TOT,16,2,11,26,2.36,2,1.6
610,Carl Brumbaugh,1930,1938,,TOT,NFL,96,49,63,25,0.40,1,0.3
611,Chon Gallegos,1962,1962,,RAI,AFL,6,,3,25,8.33,0,4.2
612,Stan Heath,1949,1949,1-5,GNB,NFL,12,1,10,25,2.50,1,2.1
613,Chris Redman,2000,2011,3-75,TOT,NFL,31,12,33,25,0.76,0,0.8
614,John Stofa,1966,1970,,TOT,TOT,27,9,17,25,1.47,1,0.9
615,Tommy Thompson,1940,1950,,TOT,NFL,99,46,293,25,0.09,6,0.3
616,Dameyune Craig,2000,2001,,CAR,NFL,6,0,5,24,4.80,0,4.0
617,Don Heinrich,1954,1962,3-35,TOT,TOT,56,34,27,24,0.89,5,0.4
618,Jerry Niles,1947,1947,,NYG,NFL,4,,8,24,3.00,0,6.0
619,Jim Ward,1967,1971,14-215,TOT,NFL,13,0,5,23,4.60,0,1.8
620,Dave Wilson,1981,1988,1-1,NOR,NFL,53,31,45,23,0.51,2,0.4
621,Joe Dufek,1983,1984,,BUF,NFL,10,5,9,22,2.44,1,2.2
